charging_experience_v1,charging_experience_v2,charging_experience_v4,charging_experience_v5,site_size_v1,site_size_v2,energy_v1,site_size_v3,congestion_v1,site_size_v4,economics_v1,energy_v2,energy_v3,congestion_v2,economics_v2,energy_v4,congestion_v3,congestion_v4,utilization_v1,utilization_v2,utilization_v3,charging_experience_v7,congestion_v5,charging_experience_v6,energy_v5,energy_v6,economics_v3,economics_v4,economics_v5,charging_experience_v8,congestion_v6,charging_experience_v3,site_size_v5
0.26666666666666666,0.03333333333333333,154.4,30.9,6.0,60480.0,3412.999999999998,60480.0,0.0,100.0,0.31283,5.837780514504652,6.318460375063846,0.0,1042.01,0.312822,0.0,5.681818181818183,88.0,8.421461640211637,60480.0,5141.966666666667,0.0,55.45,58464.0,3413.0,29.09,97.29,68.2,8.50192901234568,5.0,82.93333333333334,42.0
0.3666666666666665,0.08333333333333333,149.03333333333333,133.63333333333333,6.0,60480.0,5509.5999999999985,60480.0,1.0,100.0,0.312817,9.42391899288451,10.267855076762554,0.7194244604316546,1770.35,0.312838,0.0,5.035971223021583,139.0,12.864721119929452,60480.0,8486.483333333335,0.0,54.26666666666666,58464.0,5509.6,67.88,256.51,188.63,14.031883818342154,7.0,78.51666666666667,42.0
0.2833333333333333,0.08333333333333333,152.05,25.566666666666666,6.0,60480.0,3760.3999999999987,60480.0,0.0,100.0,0.312824,6.431992337164751,6.881507567664325,0.0,1220.06,0.312836,0.0,1.1904761904761905,84.0,8.143132716049385,60480.0,4998.833333333334,0.0,51.55,58464.0,3760.3999999999987,74.45,173.93,99.48,8.265266754850089,1.0,80.2,42.0
0.35,0.08333333333333333,132.41666666666666,10.6,6.0,60480.0,2302.9,60480.0,0.0,100.0,0.312835,3.9390051997810622,4.137854216801163,0.0,343.17,0.143586,0.0,1.96078431372549,51.0,4.3011188271604945,60480.0,2634.65,0.0,47.45,58464.0,2302.9,39.73,39.73,42.11,4.356233465608466,1.0,68.55,42.0
0.2,0.1,88.21666666666668,3.75,6.0,60480.0,991.9,60480.0,0.0,100.0,0.307406,1.6965996168582378,1.828558000810166,0.0,0.0,0.0,0.0,1.6129032258064515,26.0,2.133901014109348,60480.0,1297.85,0.0,46.85,58464.0,991.9,31.36,73.47,37.81,2.1459160052910056,1.0,60.9,42.0
2.9166666666666665,1.1333333333333333,73.76666666666667,16.516666666666666,6.0,60480.0,285.209,60480.0,0.0,100.0,0.30744,0.8537146791187741,1.4545166176737785,0.0,0.0,0.0,0.0,1.4705882352941178,7.0,0.5997574955908289,60480.0,385.66666666666663,0.0,48.7,33408.0,285.209,90.7,128.51,0.0,0.6376763668430334,1.0,60.96666666666667,42.0
0.8833333333333333,0.06666666666666668,112.15,76.06666666666666,6.0,60480.0,1513.0120000000006,60480.0,0.0,100.0,0.30737800000000004,2.5879378762999448,5.893932266866437,0.0,0.0,0.0,0.0,2.816901408450704,34.0,3.2992173721340388,60480.0,2101.683333333333,0.0,53.8,58464.0,1513.0119999999995,69.16,69.16,19.37,3.4750055114638454,2.0,80.7,14.0
0.21666666666666667,0.03333333333333333,95.5,2.7333333333333334,6.0,60480.0,1526.374,60480.0,0.0,100.0,0.307385,2.6107929666119314,6.647329686819334,0.0,0.0,0.0,0.0,3.6363636363636362,35.0,2.8604221781305115,60480.0,1736.9833333333331,0.0,45.35,58464.0,1526.3739999999998,100.51,119.88,90.53,2.871996252204585,2.0,65.61666666666666,14.0
0.3,0.11666666666666667,149.58333333333334,143.73333333333332,6.0,60480.0,1478.5279999999998,60480.0,1.0,100.0,0.307909,2.5289545703338803,6.086391279015709,1.1363636363636365,0.0,0.0,0.0,5.681818181818183,32.0,3.1226025132275126,60480.0,2038.85,0.0,52.08333333333334,58464.0,1478.5279999999998,125.93,216.46,45.35,3.3711144179894177,5.0,75.38333333333334,14.0
0.3,0.1,101.91666666666669,8.583333333333334,6.0,60480.0,1936.884,60056.0,0.0,99.2989417989418,0.308503,3.3129515599343184,9.736602457169516,0.0,0.0,0.0,0.0,1.7543859649122806,49.0,3.992917768959436,60480.0,2439.933333333333,0.0,50.68333333333333,58464.0,1936.884,0.0,45.35,70.64,4.0342813051146384,1.0,65.43333333333334,14.0
